"abv";"name";"region";"country"
"AL";"Alabama";"Southeastern U.S.";"US"
"AK";"Alaska";"Pacific Region";"US"
"AS";"American Samoa";"";"US"
"AZ";"Arizona";"Canyon Country";"US"
"AR";"Arkansas";"Southeastern U.S.";"US"
"CA";"California";"Pacific Region";"US"
"CO";"Colorado";"Rocky Mtn Region";"US"
"CT";"Connecticut";"Northeastern U.S.";"US"
"DE";"Delaware";"Northeastern U.S.";"US"
"DC";"District of Columbia";"";"US"
"FM";"Federated States of Micronesia";"";"US"
"FL";"Florida";"Southeastern U.S.";"US"
"GA";"Georgia";"Southeastern U.S.";"US"
"GU";"Guam";"";"US"
"HI";"Hawaii";"";"US"
"ID";"Idaho";"Rocky Mtn Region";"US"
"IL";"Illinois";"Midwestern U.S.";"US"
"IN";"Indiana";"Midwestern U.S.";"US"
"IA";"Iowa";"Midwestern U.S.";"US"
"KS";"Kansas";"Midwestern U.S.";"US"
"KY";"Kentucky";"Southeastern U.S.";"US"
"LA";"Louisiana";"Southeastern U.S.";"US"
"ME";"Maine";"Northeastern U.S.";"US"
"MH";"Marshall Islands";"";"US"
"MD";"Maryland";"Mid-Atlantic";"US"
"MA";"Massachusetts";"Northeastern U.S.";"US"
"MI";"Michigan";"Midwestern U.S.";"US"
"MN";"Minnesota";"Midwestern U.S.";"US"
"MS";"Mississippi";"Southeastern U.S.";"US"
"MO";"Missouri";"Midwestern U.S.";"US"
"MT";"Montana";"Rocky Mtn Region";"US"
"NE";"Nebraska";"Midwestern U.S.";"US"
"NV";"Nevada";"Canyon Country";"US"
"NH";"New Hampshire";"Northeastern U.S.";"US"
"NJ";"New Jersey";"Mid-Atlantic";"US"
"NM";"New Mexico";"Canyon Country";"US"
"NY";"New York";"Northeastern U.S.";"US"
"NC";"North Carolina";"Southeastern U.S.";"US"
"ND";"North Dakota";"Midwestern U.S.";"US"
"MP";"Northern Mariana Islands";"";"US"
"OH";"Ohio";"Midwestern U.S.";"US"
"OK";"Oklahoma";"Midwestern U.S.";"US"
"OR";"Oregon";"Pacific Region";"US"
"PW";"Palau";"";"US"
"PA";"Pennsylvania";"Mid-Atlantic";"US"
"PR";"Puerto Rico";"";"US"
"RI";"Rhode Island";"Northeastern U.S.";"US"
"SC";"South Carolina";"Southeastern U.S.";"US"
"SD";"South Dakota";"Midwestern U.S.";"US"
"TN";"Tennessee";"Southeastern U.S.";"US"
"TX";"Texas";"Canyon Country";"US"
"UT";"Utah";"Canyon Country";"US"
"VT";"Vermont";"Northeastern U.S.";"US"
"VI";"Virgin Islands";"";"US"
"VA";"Virginia";"Mid-Atlantic";"US"
"WA";"Washington";"Pacific Region";"US"
"WV";"West Virginia";"Mid-Atlantic";"US"
"WI";"Wisconsin";"Midwestern U.S.";"US"
"WY";"Wyoming";"Rocky Mtn Region";"US"
"REG1";"Region I";"Patagonia";"CL"
"REG2";"Region II";"Patagonia";"CL"
"REG3";"Region III";"Patagonia";"CL"
"REG4";"Region IV";"Patagonia";"CL"
"REG5";"Region V";"Patagonia";"CL"
"REG6";"Region VI";"Patagonia";"CL"
"REG7";"Region VII";"Patagonia";"CL"
"REG8";"Region VIII";"Patagonia";"CL"
"REG9";"Region IX";"Patagonia";"CL"
"REG10";"Region X";"Patagonia";"CL"
"REG11";"Region XI";"Patagonia";"CL"
"REG12";"Region XII";"Patagonia";"CL"
"REG13";"Region XIII";"Patagonia";"CL"
"REG14";"Region XIV";"Patagonia";"CL"
"REG15";"Region XV";"Patagonia";"CL"
